fecha,n1,n2,n3,n4,n5,superbalota
15 de Septiembre de 2025,6,10,11,12,19,7
15 de Septiembre de 2025,3,5,13,21,31,16
13 de Septiembre de 2025,1,6,12,25,40,9
13 de Septiembre de 2025,6,13,14,28,34,13
10 de Septiembre de 2025,6,28,40,42,43,12
10 de Septiembre de 2025,5,8,16,27,35,5
8 de Septiembre de 2025,10,13,20,31,42,12
8 de Septiembre de 2025,4,18,27,34,39,9
6 de Septiembre de 2025,4,8,16,28,40,10
6 de Septiembre de 2025,2,15,22,29,42,8
3 de Septiembre de 2025,16,20,26,29,31,12
3 de Septiembre de 2025,5,19,21,42,43,14
1 de Septiembre de 2025,1,13,25,33,34,12
1 de Septiembre de 2025,9,30,32,39,43,13
30 de Agosto de 2025,3,4,12,23,42,13
30 de Agosto de 2025,12,18,22,26,33,6
27 de Agosto de 2025,6,8,20,23,24,9
27 de Agosto de 2025,1,6,14,33,43,6
25 de Agosto de 2025,6,21,22,26,30,8
25 de Agosto de 2025,8,12,14,32,35,9
23 de Agosto de 2025,2,9,17,36,39,11
23 de Agosto de 2025,7,19,29,37,39,11
20 de Agosto de 2025,25,28,32,33,41,16
20 de Agosto de 2025,13,20,26,28,37,9
18 de Agosto de 2025,2,3,14,15,23,5
18 de Agosto de 2025,1,12,14,28,33,1
16 de Agosto de 2025,12,13,33,37,38,15
16 de Agosto de 2025,2,4,8,12,32,8
13 de Agosto de 2025,7,12,22,33,38,5
13 de Agosto de 2025,1,3,9,24,34,9
11 de Agosto de 2025,2,19,20,32,33,3
11 de Agosto de 2025,13,16,36,37,38,12
9 de Agosto de 2025,2,8,27,29,37,16
9 de Agosto de 2025,2,9,12,22,42,3
6 de Agosto de 2025,8,18,21,34,40,13
6 de Agosto de 2025,12,20,29,30,38,4
4 de Agosto de 2025,4,7,31,33,36,7
4 de Agosto de 2025,25,30,33,34,35,12
2 de Agosto de 2025,13,22,32,35,42,11
2 de Agosto de 2025,1,3,4,34,37,15
30 de Julio de 2025,29,30,34,36,41,15
30 de Julio de 2025,19,22,24,31,39,3
28 de Julio de 2025,10,30,33,34,41,7
28 de Julio de 2025,8,16,22,34,41,10
26 de Julio de 2025,19,25,29,34,43,10
26 de Julio de 2025,1,17,21,28,35,12
23 de Julio de 2025,1,16,19,25,26,16
23 de Julio de 2025,7,8,11,27,38,3
21 de Julio de 2025,21,26,27,34,41,16
21 de Julio de 2025,4,13,18,33,36,11
19 de Julio de 2025,14,17,22,24,27,9
19 de Julio de 2025,4,7,23,37,43,15
16 de Julio de 2025,5,10,13,20,31,13
16 de Julio de 2025,4,15,21,30,35,5
14 de Julio de 2025,8,14,28,35,36,5
14 de Julio de 2025,7,8,12,33,39,13
12 de Julio de 2025,7,10,17,30,43,15
12 de Julio de 2025,1,11,24,25,35,8
9 de Julio de 2025,9,21,25,29,41,10
9 de Julio de 2025,3,5,9,35,39,11
7 de Julio de 2025,2,12,24,41,42,5
7 de Julio de 2025,9,16,28,36,43,12
5 de Julio de 2025,4,17,19,26,36,10
5 de Julio de 2025,17,26,29,32,34,2
2 de Julio de 2025,6,16,21,23,42,13
2 de Julio de 2025,5,10,12,24,29,13
30 de Junio de 2025,2,3,9,36,41,15
